name,value,註解,unit
m,310,車質量,kg
h,0.284,重心高,m
L,1.55,軸距,m
d,1.25,輪距,m
ax,1.5,加速度x,m/s^2
ay,1.5,加速度y,m/s^2
F_addx,0,外力x,N
F_addy,0,外力y,N
F_addz,0,外力z,N
CG_xf,0.5,重心比例,
CG_xr,0.5,重心比例,
CG_yl,0.5,重心比例,
CG_yr,0.5,重心比例,
CF_relax,0,力量作用點,m
CF_relay,0,力量作用點,m
CF_relaz,0,力量作用點,m
