v_(m/s),hf_(mm)
0.0,54.5
0.6122448979591837,54.49693795492188
1.2244897959183674,54.48775181968753
1.836734693877551,54.47244159429695
2.4489795918367347,54.45100727875013
3.0612244897959187,54.423448873047086
3.673469387755102,54.3897663771878
4.285714285714286,54.34995979117228
4.8979591836734695,54.30402911500053
5.510204081632653,54.25197434867255
6.122448979591837,54.19379549218833
6.73469387755102,54.12949254554788
7.346938775510204,54.059065508751196
7.959183673469388,53.98251438179828
8.571428571428571,53.89983916468913
9.183673469387756,53.81103985742375
9.795918367346939,53.716116460002134
10.408163265306122,53.61506897242428
11.020408163265307,53.5078973946902
11.63265306122449,53.39460172679988
12.244897959183675,53.27518196875333
12.857142857142858,53.14963812055055
13.46938775510204,53.017970182191526
14.081632653061225,52.880178153676276
14.693877551020408,52.73626203500479
15.306122448979592,52.58622182617708
15.918367346938776,52.43005752719313
16.53061224489796,52.26776913805294
17.142857142857142,52.09935665875653
17.755102040816325,51.92482008930388
18.367346938775512,51.74415942969499
18.979591836734695,51.55737467992987
19.591836734693878,51.36446584000852
20.20408163265306,51.16543290993094
20.816326530612244,50.96027588969712
21.42857142857143,50.74899477930707
22.040816326530614,50.53158957876079
22.653061224489797,50.30806028805827
23.26530612244898,50.07840690719952
23.877551020408163,49.84262943618454
24.48979591836735,49.60072787501332
25.102040816326532,49.35270222368587
25.714285714285715,49.09855248220218
26.3265306122449,48.838278650562266
26.93877551020408,48.57188072876612
27.551020408163264,48.29935871681373
28.16326530612245,48.02071261470511
28.775510204081634,47.73594242244026
29.387755102040817,47.44504814001918
30.0,47.14802976744186
