name,value,comment,unit
tire_ms,250/4,sprung mass,kg
tire_mu,40,unsprung mass,kg
tire_ks,40000,suspension spring,N/m
tire_kt,180000,tire stiffness,N/m
tire_xs0,0,initial body displacement,m
tire_vs0,0,initial body velocity,m/s
tire_xu0,0.025,initial wheel displacement,m
tire_vu0,0,initial wheel velocity,m/s
tire_tspan,[0 5],time span,s
