name,value,comment,unit
max_g,9.81,gravity,m/s^2
max_m,300,vehicle mass,kg
max_ax,1.6,maximum longitudinal acceleration in g,
max_ay,1.6,maximum lateral acceleration in g,
max_h,0.28,cg height,m
max_L,1.55,wheelbase,m
max_t,1.25,track width,m
max_s,0.01:0.005:0.05,allowable suspension compression,m
