ay_(g),roll_(deg)
-1.6,1.6909893396224838
-1.5346938775510204,1.6219693665766681
-1.469387755102041,1.5529493935308523
-1.4040816326530614,1.4839294204850366
-1.3387755102040817,1.414909447439221
-1.273469387755102,1.3458894743934053
-1.2081632653061225,1.2768695013475897
-1.142857142857143,1.2078495283017745
-1.0775510204081633,1.1388295552559584
-1.0122448979591836,1.0698095822101428
-0.9469387755102041,1.0007896091643271
-0.8816326530612246,0.9317696361185116
-0.8163265306122449,0.8627496630726957
-0.7510204081632653,0.7937296900268802
-0.6857142857142857,0.7247097169810645
-0.6204081632653062,0.655689743935249
-0.5551020408163266,0.5866697708894332
-0.4897959183673469,0.5176497978436174
-0.4244897959183674,0.44862982479780183
-0.3591836734693879,0.37960985175198625
-0.2938775510204082,0.31058987870617055
-0.22857142857142854,0.24156990566035474
-0.16326530612244902,0.17254993261453916
-0.09795918367346952,0.10352995956872366
-0.03265306122448984,0.03450998652290788
0.03265306122448984,-0.03450998652290788
0.09795918367346952,-0.10352995956872366
0.16326530612244886,-0.17254993261453905
0.22857142857142854,-0.24156990566035474
0.2938775510204082,-0.31058987870617055
0.3591836734693875,-0.3796098517519859
0.4244897959183672,-0.4486298247978017
0.4897959183673469,-0.5176497978436174
0.5551020408163266,-0.5866697708894332
0.6204081632653062,-0.655689743935249
0.6857142857142856,-0.7247097169810643
0.7510204081632653,-0.7937296900268802
0.8163265306122449,-0.8627496630726957
0.8816326530612243,-0.9317696361185112
0.946938775510204,-1.0007896091643271
1.0122448979591836,-1.0698095822101428
1.0775510204081633,-1.1388295552559584
1.142857142857143,-1.2078495283017745
1.2081632653061223,-1.2768695013475897
1.273469387755102,-1.3458894743934053
1.3387755102040817,-1.414909447439221
1.404081632653061,-1.4839294204850366
1.4693877551020407,-1.552949393530852
1.5346938775510204,-1.6219693665766681
1.6,-1.6909893396224838
