ax_(g),pitch_(deg)
-1.6,1.743843013229709
-1.542857142857143,1.6815629056143617
-1.4857142857142858,1.6192827979990152
-1.4285714285714286,1.5570026903836687
-1.3714285714285714,1.4947225827683217
-1.3142857142857145,1.432442475152975
-1.2571428571428573,1.3701623675376282
-1.2000000000000002,1.3078822599222815
-1.142857142857143,1.245602152306935
-1.0857142857142859,1.1833220446915882
-1.0285714285714287,1.1210419370762414
-0.9714285714285716,1.0587618294608947
-0.9142857142857143,0.9964817218455477
-0.8571428571428572,0.934201614230201
-0.8,0.8719215066148545
-0.7428571428571429,0.8096413989995076
-0.6857142857142857,0.7473612913841609
-0.6285714285714287,0.6850811837688141
-0.5714285714285715,0.6228010761534675
-0.5142857142857143,0.5605209685381207
-0.45714285714285724,0.498240860922774
-0.40000000000000013,0.4359607533074273
-0.34285714285714297,0.3736806456920806
-0.28571428571428586,0.31140053807673373
-0.22857142857142854,0.24912043046138688
-0.1714285714285714,0.18684032284604016
-0.11428571428571427,0.12456021523069344
-0.057142857142857134,0.06228010761534672
0.0,-0.0
0.057142857142857134,-0.06228010761534672
0.11428571428571427,-0.12456021523069344
0.1714285714285714,-0.18684032284604016
0.22857142857142854,-0.24912043046138688
0.28571428571428564,-0.3114005380767336
0.3428571428571428,-0.3736806456920803
0.3999999999999999,-0.43596075330742706
0.4571428571428571,-0.49824086092277375
0.5142857142857142,-0.5605209685381205
0.5714285714285713,-0.6228010761534672
0.6285714285714284,-0.6850811837688139
0.6857142857142856,-0.7473612913841606
0.7428571428571428,-0.8096413989995075
0.7999999999999998,-0.8719215066148541
0.857142857142857,-0.9342016142302009
0.9142857142857141,-0.9964817218455475
0.9714285714285713,-1.0587618294608943
1.0285714285714285,-1.121041937076241
1.0857142857142854,-1.1833220446915877
1.142857142857143,-1.245602152306935
1.2,-1.3078822599222815
