ay_(g),ax_(g),hf_left_(mm),hf_right_(mm),pitch_(deg),roll_left_(deg)
-1.6,-1.6,23.268128544600334,-19.88036224368868,1.743843013229709,1.6909893396224838
-1.5346938775510204,-1.6,22.387547099941372,-18.999780799029736,1.743843013229709,1.6219693665766681
-1.469387755102041,-1.6,21.506965655282407,-18.119199354370764,1.743843013229709,1.5529493935308523
-1.4040816326530614,-1.6,20.626384210623456,-17.238617909711806,1.743843013229709,1.4839294204850366
-1.3387755102040817,-1.6,19.745802765964484,-16.358036465052848,1.743843013229709,1.414909447439221
-1.273469387755102,-1.6,18.865221321305533,-15.47745502039389,1.743843013229709,1.3458894743934053
-1.2081632653061225,-1.6,17.98463987664657,-14.596873575734932,1.743843013229709,1.2768695013475897
-1.142857142857143,-1.6,17.104058431987617,-13.716292131075974,1.743843013229709,1.2078495283017745
-1.0775510204081633,-1.6,16.22347698732866,-12.835710686417016,1.743843013229709,1.1388295552559584
-1.0122448979591836,-1.6,15.342895542669687,-11.955129241758044,1.743843013229709,1.0698095822101428
-0.9469387755102041,-1.6,14.462314098010737,-11.074547797099086,1.743843013229709,1.0007896091643271
-0.8816326530612246,-1.6,13.581732653351771,-10.193966352440142,1.743843013229709,0.9317696361185116
-0.8163265306122449,-1.6,12.701151208692814,-9.31338490778117,1.743843013229709,0.8627496630726957
-0.7510204081632653,-1.6,11.820569764033863,-8.43280346312222,1.743843013229709,0.7937296900268802
-0.6857142857142857,-1.6,10.939988319374898,-7.5522220184632545,1.743843013229709,0.7247097169810645
-0.6204081632653062,-1.6,10.05940687471594,-6.6716405738042965,1.743843013229709,0.655689743935249
-0.5551020408163266,-1.6,9.178825430056975,-5.7910591291453315,1.743843013229709,0.5866697708894332
-0.4897959183673469,-1.6,8.298243985398017,-4.910477684486374,1.743843013229709,0.5176497978436174
-0.4244897959183674,-1.6,7.417662540739059,-4.029896239827416,1.743843013229709,0.44862982479780183
-0.3591836734693879,-1.6,6.537081096080101,-3.1493147951684577,1.743843013229709,0.37960985175198625
-0.2938775510204082,-1.6,5.656499651421143,-2.2687333505094998,1.743843013229709,0.31058987870617055
-0.22857142857142854,-1.6,4.775918206762178,-1.3881519058505347,1.743843013229709,0.24156990566035474
-0.16326530612244902,-1.6,3.89533676210322,-0.5075704611915768,1.743843013229709,0.17254993261453916
-0.09795918367346952,-1.6,3.014755317444269,0.37301098346737405,1.743843013229709,0.10352995956872366
-0.03265306122448984,-1.6,2.134173872785297,1.2535924281263462,1.743843013229709,0.03450998652290788
0.03265306122448984,-1.6,1.2535924281263462,2.134173872785297,1.743843013229709,-0.03450998652290788
0.09795918367346952,-1.6,0.37301098346737405,3.014755317444269,1.743843013229709,-0.10352995956872366
0.16326530612244886,-1.6,-0.5075704611915768,3.89533676210322,1.743843013229709,-0.17254993261453905
0.22857142857142854,-1.6,-1.3881519058505347,4.775918206762178,1.743843013229709,-0.24156990566035474
0.2938775510204082,-1.6,-2.2687333505094998,5.656499651421143,1.743843013229709,-0.31058987870617055
0.3591836734693875,-1.6,-3.1493147951684506,6.537081096080094,1.743843013229709,-0.3796098517519859
0.4244897959183672,-1.6,-4.029896239827416,7.417662540739059,1.743843013229709,-0.4486298247978017
0.4897959183673469,-1.6,-4.910477684486374,8.298243985398017,1.743843013229709,-0.5176497978436174
0.5551020408163266,-1.6,-5.7910591291453315,9.178825430056975,1.743843013229709,-0.5866697708894332
0.6204081632653062,-1.6,-6.6716405738042965,10.05940687471594,1.743843013229709,-0.655689743935249
0.6857142857142856,-1.6,-7.552222018463247,10.93998831937489,1.743843013229709,-0.7247097169810643
0.7510204081632653,-1.6,-8.43280346312222,11.820569764033863,1.743843013229709,-0.7937296900268802
0.8163265306122449,-1.6,-9.31338490778117,12.701151208692814,1.743843013229709,-0.8627496630726957
0.8816326530612243,-1.6,-10.193966352440128,13.581732653351764,1.743843013229709,-0.9317696361185112
0.946938775510204,-1.6,-11.074547797099086,14.462314098010737,1.743843013229709,-1.0007896091643271
1.0122448979591836,-1.6,-11.955129241758044,15.342895542669687,1.743843013229709,-1.0698095822101428
1.0775510204081633,-1.6,-12.835710686417016,16.22347698732866,1.743843013229709,-1.1388295552559584
1.142857142857143,-1.6,-13.716292131075974,17.104058431987617,1.743843013229709,-1.2078495283017745
1.2081632653061223,-1.6,-14.596873575734932,17.98463987664657,1.743843013229709,-1.2768695013475897
1.273469387755102,-1.6,-15.47745502039389,18.865221321305533,1.743843013229709,-1.3458894743934053
1.3387755102040817,-1.6,-16.358036465052848,19.745802765964484,1.743843013229709,-1.414909447439221
1.404081632653061,-1.6,-17.238617909711806,20.626384210623456,1.743843013229709,-1.4839294204850366
1.4693877551020407,-1.6,-18.119199354370764,21.506965655282407,1.743843013229709,-1.552949393530852
1.5346938775510204,-1.6,-18.999780799029736,22.387547099941372,1.743843013229709,-1.6219693665766681
1.6,-1.6,-19.88036224368868,23.268128544600334,1.743843013229709,-1.6909893396224838
-1.6,-1.542857142857143,25.154061289226924,-17.994429499062093,1.6815629056143617,1.6909893396224838
-1.5346938775510204,-1.542857142857143,24.273479844567962,-17.11384805440315,1.6815629056143617,1.6219693665766681
-1.469387755102041,-1.542857142857143,23.392898399909,-16.233266609744177,1.6815629056143617,1.5529493935308523
-1.4040816326530614,-1.542857142857143,22.512316955250043,-15.35268516508522,1.6815629056143617,1.4839294204850366
-1.3387755102040817,-1.542857142857143,21.631735510591078,-14.472103720426247,1.6815629056143617,1.414909447439221
-1.273469387755102,-1.542857142857143,20.75115406593212,-13.591522275767304,1.6815629056143617,1.3458894743934053
-1.2081632653061225,-1.542857142857143,19.870572621273162,-12.710940831108346,1.6815629056143617,1.2768695013475897
-1.142857142857143,-1.542857142857143,18.989991176614204,-11.830359386449373,1.6815629056143617,1.2078495283017745
-1.0775510204081633,-1.542857142857143,18.109409731955246,-10.94977794179043,1.6815629056143617,1.1388295552559584
-1.0122448979591836,-1.542857142857143,17.22882828729628,-10.069196497131458,1.6815629056143617,1.0698095822101428
-0.9469387755102041,-1.542857142857143,16.348246842637323,-9.1886150524725,1.6815629056143617,1.0007896091643271
-0.8816326530612246,-1.542857142857143,15.467665397978365,-8.308033607813549,1.6815629056143617,0.9317696361185116
-0.8163265306122449,-1.542857142857143,14.5870839533194,-7.427452163154584,1.6815629056143617,0.8627496630726957
-0.7510204081632653,-1.542857142857143,13.70650250866045,-6.546870718495626,1.6815629056143617,0.7937296900268802
-0.6857142857142857,-1.542857142857143,12.825921064001491,-5.666289273836668,1.6815629056143617,0.7247097169810645
-0.6204081632653062,-1.542857142857143,11.945339619342526,-4.785707829177703,1.6815629056143617,0.655689743935249
-0.5551020408163266,-1.542857142857143,11.064758174683568,-3.905126384518745,1.6815629056143617,0.5866697708894332
-0.4897959183673469,-1.542857142857143,10.184176730024603,-3.024544939859787,1.6815629056143617,0.5176497978436174
-0.4244897959183674,-1.542857142857143,9.303595285365645,-2.143963495200822,1.6815629056143617,0.44862982479780183
-0.3591836734693879,-1.542857142857143,8.423013840706695,-1.2633820505418711,1.6815629056143617,0.37960985175198625
-0.2938775510204082,-1.542857142857143,7.5424323960477295,-0.3828006058829061,1.6815629056143617,0.31058987870617055
-0.22857142857142854,-1.542857142857143,6.661850951388772,0.49778083877605184,1.6815629056143617,0.24156990566035474
-0.16326530612244902,-1.542857142857143,5.7812695067298066,1.3783622834350098,1.6815629056143617,0.17254993261453916
-0.09795918367346952,-1.542857142857143,4.900688062070856,2.2589437280939677,1.6815629056143617,0.10352995956872366
-0.03265306122448984,-1.542857142857143,4.020106617411891,3.1395251727529327,1.6815629056143617,0.03450998652290788
0.03265306122448984,-1.542857142857143,3.1395251727529327,4.020106617411891,1.6815629056143617,-0.03450998652290788
0.09795918367346952,-1.542857142857143,2.2589437280939677,4.900688062070856,1.6815629056143617,-0.10352995956872366
0.16326530612244886,-1.542857142857143,1.3783622834350098,5.7812695067298066,1.6815629056143617,-0.17254993261453905
0.22857142857142854,-1.542857142857143,0.49778083877605184,6.661850951388772,1.6815629056143617,-0.24156990566035474
0.2938775510204082,-1.542857142857143,-0.3828006058829061,7.5424323960477295,1.6815629056143617,-0.31058987870617055
0.3591836734693875,-1.542857142857143,-1.263382050541864,8.423013840706687,1.6815629056143617,-0.3796098517519859
0.4244897959183672,-1.542857142857143,-2.143963495200822,9.303595285365645,1.6815629056143617,-0.4486298247978017
0.4897959183673469,-1.542857142857143,-3.024544939859787,10.184176730024603,1.6815629056143617,-0.5176497978436174
0.5551020408163266,-1.542857142857143,-3.905126384518745,11.064758174683568,1.6815629056143617,-0.5866697708894332
0.6204081632653062,-1.542857142857143,-4.785707829177703,11.945339619342526,1.6815629056143617,-0.655689743935249
0.6857142857142856,-1.542857142857143,-5.666289273836661,12.825921064001484,1.6815629056143617,-0.7247097169810643
0.7510204081632653,-1.542857142857143,-6.546870718495626,13.70650250866045,1.6815629056143617,-0.7937296900268802
0.8163265306122449,-1.542857142857143,-7.427452163154584,14.5870839533194,1.6815629056143617,-0.8627496630726957
0.8816326530612243,-1.542857142857143,-8.308033607813535,15.467665397978358,1.6815629056143617,-0.9317696361185112
0.946938775510204,-1.542857142857143,-9.1886150524725,16.348246842637323,1.6815629056143617,-1.0007896091643271
1.0122448979591836,-1.542857142857143,-10.069196497131458,17.22882828729628,1.6815629056143617,-1.0698095822101428
1.0775510204081633,-1.542857142857143,-10.94977794179043,18.109409731955246,1.6815629056143617,-1.1388295552559584
1.142857142857143,-1.542857142857143,-11.830359386449373,18.989991176614204,1.6815629056143617,-1.2078495283017745
1.2081632653061223,-1.542857142857143,-12.710940831108346,19.870572621273162,1.6815629056143617,-1.2768695013475897
1.273469387755102,-1.542857142857143,-13.591522275767304,20.75115406593212,1.6815629056143617,-1.3458894743934053
1.3387755102040817,-1.542857142857143,-14.472103720426247,21.631735510591078,1.6815629056143617,-1.414909447439221
1.404081632653061,-1.542857142857143,-15.35268516508522,22.512316955250043,1.6815629056143617,-1.4839294204850366
1.4693877551020407,-1.542857142857143,-16.233266609744177,23.392898399908997,1.6815629056143617,-1.552949393530852
1.5346938775510204,-1.542857142857143,-17.11384805440315,24.273479844567962,1.6815629056143617,-1.6219693665766681
1.6,-1.542857142857143,-17.994429499062093,25.154061289226924,1.6815629056143617,-1.6909893396224838
-1.6,-1.4857142857142858,27.039994033853493,-16.108496754435535,1.6192827979990152,1.6909893396224838
-1.5346938775510204,-1.4857142857142858,26.15941258919453,-15.227915309776563,1.6192827979990152,1.6219693665766681
-1.469387755102041,-1.4857142857142858,25.27883114453557,-14.34733386511762,1.6192827979990152,1.5529493935308523
-1.4040816326530614,-1.4857142857142858,24.398249699876608,-13.466752420458647,1.6192827979990152,1.4839294204850366
-1.3387755102040817,-1.4857142857142858,23.517668255217647,-12.58617097579969,1.6192827979990152,1.414909447439221
-1.273469387755102,-1.4857142857142858,22.637086810558692,-11.705589531140717,1.6192827979990152,1.3458894743934053
-1.2081632653061225,-1.4857142857142858,21.756505365899727,-10.825008086481773,1.6192827979990152,1.2768695013475897
-1.142857142857143,-1.4857142857142858,20.875923921240776,-9.944426641822815,1.6192827979990152,1.2078495283017745
-1.0775510204081633,-1.4857142857142858,19.99534247658181,-9.06384519716385,1.6192827979990152,1.1388295552559584
-1.0122448979591836,-1.4857142857142858,19.114761031922853,-8.183263752504892,1.6192827979990152,1.0698095822101428
-0.9469387755102041,-1.4857142857142858,18.234179587263895,-7.302682307845934,1.6192827979990152,1.0007896091643271
-0.8816326530612246,-1.4857142857142858,17.35359814260493,-6.4221008631869765,1.6192827979990152,0.9317696361185116
-0.8163265306122449,-1.4857142857142858,16.473016697945972,-5.541519418528011,1.6192827979990152,0.8627496630726957
-0.7510204081632653,-1.4857142857142858,15.592435253287022,-4.660937973869061,1.6192827979990152,0.7937296900268802
-0.6857142857142857,-1.4857142857142858,14.711853808628057,-3.7803565292100956,1.6192827979990152,0.7247097169810645
-0.6204081632653062,-1.4857142857142858,13.831272363969099,-2.8997750845511376,1.6192827979990152,0.655689743935249
-0.5551020408163266,-1.4857142857142858,12.950690919310134,-2.0191936398921797,1.6192827979990152,0.5866697708894332
-0.4897959183673469,-1.4857142857142858,12.070109474651176,-1.1386121952332147,1.6192827979990152,0.5176497978436174
-0.4244897959183674,-1.4857142857142858,11.189528029992218,-0.25803075057425673,1.6192827979990152,0.44862982479780183
-0.3591836734693879,-1.4857142857142858,10.30894658533326,0.6225506940847012,1.6192827979990152,0.37960985175198625
-0.2938775510204082,-1.4857142857142858,9.428365140674302,1.5031321387436591,1.6192827979990152,0.31058987870617055
-0.22857142857142854,-1.4857142857142858,8.547783696015337,2.383713583402624,1.6192827979990152,0.24156990566035474
-0.16326530612244902,-1.4857142857142858,7.667202251356379,3.264295028061582,1.6192827979990152,0.17254993261453916
-0.09795918367346952,-1.4857142857142858,6.786620806697421,4.144876472720533,1.6192827979990152,0.10352995956872366
-0.03265306122448984,-1.4857142857142858,5.906039362038463,5.025457917379498,1.6192827979990152,0.03450998652290788
0.03265306122448984,-1.4857142857142858,5.025457917379498,5.906039362038463,1.6192827979990152,-0.03450998652290788
0.09795918367346952,-1.4857142857142858,4.144876472720533,6.786620806697421,1.6192827979990152,-0.10352995956872366
0.16326530612244886,-1.4857142857142858,3.264295028061582,7.667202251356379,1.6192827979990152,-0.17254993261453905
0.22857142857142854,-1.4857142857142858,2.383713583402624,8.547783696015337,1.6192827979990152,-0.24156990566035474
0.2938775510204082,-1.4857142857142858,1.5031321387436591,9.428365140674302,1.6192827979990152,-0.31058987870617055
0.3591836734693875,-1.4857142857142858,0.6225506940847083,10.308946585333253,1.6192827979990152,-0.3796098517519859
0.4244897959183672,-1.4857142857142858,-0.25803075057425673,11.189528029992218,1.6192827979990152,-0.4486298247978017
0.4897959183673469,-1.4857142857142858,-1.1386121952332147,12.070109474651176,1.6192827979990152,-0.5176497978436174
0.5551020408163266,-1.4857142857142858,-2.0191936398921797,12.950690919310134,1.6192827979990152,-0.5866697708894332
0.6204081632653062,-1.4857142857142858,-2.8997750845511376,13.831272363969099,1.6192827979990152,-0.655689743935249
0.6857142857142856,-1.4857142857142858,-3.7803565292100956,14.711853808628057,1.6192827979990152,-0.7247097169810643
0.7510204081632653,-1.4857142857142858,-4.660937973869061,15.592435253287022,1.6192827979990152,-0.7937296900268802
0.8163265306122449,-1.4857142857142858,-5.541519418528011,16.473016697945972,1.6192827979990152,-0.8627496630726957
0.8816326530612243,-1.4857142857142858,-6.4221008631869765,17.35359814260493,1.6192827979990152,-0.9317696361185112
0.946938775510204,-1.4857142857142858,-7.302682307845934,18.234179587263895,1.6192827979990152,-1.0007896091643271
1.0122448979591836,-1.4857142857142858,-8.183263752504892,19.114761031922853,1.6192827979990152,-1.0698095822101428
1.0775510204081633,-1.4857142857142858,-9.06384519716385,19.99534247658181,1.6192827979990152,-1.1388295552559584
1.142857142857143,-1.4857142857142858,-9.944426641822815,20.875923921240776,1.6192827979990152,-1.2078495283017745
1.2081632653061223,-1.4857142857142858,-10.825008086481773,21.756505365899727,1.6192827979990152,-1.2768695013475897
1.273469387755102,-1.4857142857142858,-11.705589531140717,22.637086810558692,1.6192827979990152,-1.3458894743934053
1.3387755102040817,-1.4857142857142858,-12.58617097579969,23.517668255217647,1.6192827979990152,-1.414909447439221
1.404081632653061,-1.4857142857142858,-13.466752420458647,24.398249699876608,1.6192827979990152,-1.4839294204850366
1.4693877551020407,-1.4857142857142858,-14.347333865117605,25.278831144535566,1.6192827979990152,-1.552949393530852
1.5346938775510204,-1.4857142857142858,-15.227915309776563,26.15941258919453,1.6192827979990152,-1.6219693665766681
1.6,-1.4857142857142858,-16.108496754435535,27.039994033853493,1.6192827979990152,-1.6909893396224838
-1.6,-1.4285714285714286,28.925926778480058,-14.222564009808963,1.5570026903836687,1.6909893396224838
-1.5346938775510204,-1.4285714285714286,28.0453453338211,-13.341982565150005,1.5570026903836687,1.6219693665766681
-1.469387755102041,-1.4285714285714286,27.16476388916214,-12.461401120491033,1.5570026903836687,1.5529493935308523
-1.4040816326530614,-1.4285714285714286,26.284182444503177,-11.580819675832089,1.5570026903836687,1.4839294204850366
-1.3387755102040817,-1.4285714285714286,25.403600999844215,-10.700238231173117,1.5570026903836687,1.414909447439221
-1.273469387755102,-1.4285714285714286,24.523019555185257,-9.819656786514159,1.5570026903836687,1.3458894743934053
-1.2081632653061225,-1.4285714285714286,23.6424381105263,-8.939075341855194,1.5570026903836687,1.2768695013475897
-1.142857142857143,-1.4285714285714286,22.761856665867345,-8.058493897196257,1.5570026903836687,1.2078495283017745
-1.0775510204081633,-1.4285714285714286,21.881275221208384,-7.177912452537285,1.5570026903836687,1.1388295552559584
-1.0122448979591836,-1.4285714285714286,21.00069377654942,-6.29733100787832,1.5570026903836687,1.0698095822101428
-0.9469387755102041,-1.4285714285714286,20.12011233189046,-5.416749563219362,1.5570026903836687,1.0007896091643271
-0.8816326530612246,-1.4285714285714286,19.239530887231503,-4.536168118560404,1.5570026903836687,0.9317696361185116
-0.8163265306122449,-1.4285714285714286,18.358949442572538,-3.655586673901446,1.5570026903836687,0.8627496630726957
-0.7510204081632653,-1.4285714285714286,17.478367997913587,-2.7750052292424883,1.5570026903836687,0.7937296900268802
-0.6857142857142857,-1.4285714285714286,16.59778655325463,-1.8944237845835303,1.5570026903836687,0.7247097169810645
-0.6204081632653062,-1.4285714285714286,15.717205108595664,-1.0138423399245653,1.5570026903836687,0.655689743935249
-0.5551020408163266,-1.4285714285714286,14.836623663936706,-0.13326089526560736,1.5570026903836687,0.5866697708894332
-0.4897959183673469,-1.4285714285714286,13.956042219277741,0.7473205493933506,1.5570026903836687,0.5176497978436174
-0.4244897959183674,-1.4285714285714286,13.075460774618783,1.6279019940523156,1.5570026903836687,0.44862982479780183
-0.3591836734693879,-1.4285714285714286,12.194879329959832,2.5084834387112664,1.5570026903836687,0.37960985175198625
-0.2938775510204082,-1.4285714285714286,11.314297885300867,3.3890648833702315,1.5570026903836687,0.31058987870617055
-0.22857142857142854,-1.4285714285714286,10.43371644064191,4.269646328029189,1.5570026903836687,0.24156990566035474
-0.16326530612244902,-1.4285714285714286,9.553134995982944,5.150227772688147,1.5570026903836687,0.17254993261453916
-0.09795918367346952,-1.4285714285714286,8.672553551323993,6.030809217347105,1.5570026903836687,0.10352995956872366
-0.03265306122448984,-1.4285714285714286,7.791972106665028,6.91139066200607,1.5570026903836687,0.03450998652290788
0.03265306122448984,-1.4285714285714286,6.91139066200607,7.791972106665028,1.5570026903836687,-0.03450998652290788
0.09795918367346952,-1.4285714285714286,6.030809217347105,8.672553551323993,1.5570026903836687,-0.10352995956872366
0.16326530612244886,-1.4285714285714286,5.150227772688147,9.553134995982944,1.5570026903836687,-0.17254993261453905
0.22857142857142854,-1.4285714285714286,4.269646328029189,10.43371644064191,1.5570026903836687,-0.24156990566035474
0.2938775510204082,-1.4285714285714286,3.3890648833702315,11.314297885300867,1.5570026903836687,-0.31058987870617055
